layer,feat_idx,description,explanation_model,type,max_act_approx,frac_nonzero,top_pos_tokens,top_neg_tokens
1,1539," information related to medical and insurance matters, particularly surrounding accidents and their financial implications",gpt-4o-mini,oai_token-act-pair,1.917,0.04641246795654297," purpose,  spokesperson,  ktÃ³,  epit,  emphasis","ĥ½, £, į, ¦, ĳ"
1,2166, patterns and structural elements in code or technical documentation,gpt-4o-mini,oai_token-act-pair,5.106,0.05978902180989584,"¦, "";, ients, °, ¢","""}](#, !),, ,), )~,  mechanic"
1,2173,cohesive and repetitive elements in lists or sequences,gpt-4o-mini,oai_token-act-pair,4.296,0.009445826212565104," forth, rogens,  vice,  its,  consequent","ĸ, ģ, ĻĤ, Ĺ, £"
1,2461, elements related to public relations and marketing activities,gpt-4o-mini,oai_token-act-pair,2.056,0.01245594024658203,"except,  short,  ""âĻª, yc,  Wings","amycin,  bets, Ä±z, à±ģ, Ģ"
1,3060, steps and instructions related to tasks or processes,gpt-4o-mini,oai_token-act-pair,0.495,0.02721436818440755,"ging, pping, iring, ushing,  morning","
ĉĉĉ   , 

            ,          ,  
         , 
                                       "
1,3151, references to financial aspects and consequences in discussions about economic policies,gpt-4o-mini,oai_token-act-pair,1.543,0.05879751841227213," forward,  slack, gered, soever,  open",")$., )];,  Worth, 
ĉ
, }}}$."
1,3392,elements related to holiday celebrations and emotions associated with family gatherings,gpt-4o-mini,oai_token-act-pair,0.644,0.03649298350016276," percent,  goal, chez, ester, lando","Ļª, ĳ, ĨĴ,          , 

   "
1,3626, sporting events scores and player statistics,gpt-4o-mini,oai_token-act-pair,2.861,0.04886182149251302," players,  midfielder,  offseason,  finale,  tournament","."");, "");, ."").,  "");, ).]("
1,3856," unique or titular phrases and names, particularly in a cultural or artistic context",gpt-4o-mini,oai_token-act-pair,2.052,0.03544775644938151,"emos, erto, `,, vier, ""}](#","ologies, ·, )^[@, noreply, )</"
1,4219,"repetitive mentions of the term ""constant""",gpt-4o-mini,oai_token-act-pair,5.547,0.001722017923990885,"itud,  updating,  variables,  utf,  renewal","oard, thems, mit, nt, orent"
1,4592,"references to the pronoun ""her.""",gpt-4o-mini,oai_token-act-pair,5.647,0.003396034240722656," own, cules, oku, itage, bage","ordin, ably,  him, enter, ĸ"
1,4681,elements related to feelings and expressions of emotion,gpt-4o-mini,oai_token-act-pair,3.507,0.01235866546630859,"ķ, Ŀ, ĩ, gets, ¥","riber, itum,  objection,  novo, ement"
1,4867, concepts related to funding and financial agreements,gpt-4o-mini,oai_token-act-pair,0.543,0.04318936665852865," [$,  morning,  !==,  Your,  pregnant","velopment, ¾, IFIC, \]\].,  logo"
1,4886,references to the public or community involvement in various contexts,gpt-4o-mini,oai_token-act-pair,1.762,0.01418081919352213,"biamo, onent, oste, asio,  itself","¾, ¿½, ĻĤ, Ļ,    
"
1,4898,"terms related to programming and software development, particularly in PHP and SQL contexts",gpt-4o-mini,oai_token-act-pair,1.181,0.04154555002848307,"ului, iere, nier, #., agna","ĥ½, ķ, ĳ, ľĵ, ´"
1,5440,references to roles or titles in a professional or sports context,gpt-4o-mini,oai_token-act-pair,2.547,0.009327570597330729,"liness, ship, azine, ships,  spirits","ĥ½, », ¬, Ĳ, Ĵ"
1,5465,specific details and numerical information related to education and community services,gpt-4o-mini,oai_token-act-pair,1.114,0.01724020640055339,"yards, lords, »¿,  Stadium,  receives","rogenic, ogen, idth,  Fourier, ARGET"
1,5564, specific words and phrases related to communication,gpt-4o-mini,oai_token-act-pair,5.541,0.0009403228759765625,"sworth, ball, smith, tagged, press","ĥ½, ĨĴ, ı, ³, ¬"
1,6157," the repetition of the word ""can"" in various contexts",gpt-4o-mini,oai_token-act-pair,5.905,0.003096580505371094,"'t, vas,  optionally, cels, ubicin","¡, ¢, Ŀ, Ľ, »¿"
1,6306,references to musical compositions,gpt-4o-mini,oai_token-act-pair,5.811,0.0005737940470377604,"al, ally, ality, hemat, etal","³, ĥ½, ¼, ĵ, ĸ´"
1,6590,references to specific counties and their related information,gpt-4o-mini,oai_token-act-pair,6.81,0.0007308324178059896,"way, view,  Clerk, ways, fal","ĥ½,  sexes, ·¸, omycin, ģ"
1,6719,references to specific individuals in the context of achievement or recognition,gpt-4o-mini,oai_token-act-pair,0.959,0.01783466339111328,"yers, neys, ura,  solicit,  bloc","ĻĤ,                                       , č
        , 

                                         , č
      "
1,6986," instances of the word ""on"" in various contexts",gpt-4o-mini,oai_token-act-pair,2.966,0.005422274271647136," behalf, shore, yx, cology, look"," Pradesh, burg, ©, ķ,  beyond"
1,7277, expressions of frustration in attempts to understand or accomplish something,gpt-4o-mini,oai_token-act-pair,0.992,0.03150463104248047,"ľĵ, ĻĤ, ¥, Ĳ, ĨĴ","doms, dom, iverse, ardless, ader"
1,7308,terms related to legal proceedings and jury decisions,gpt-4o-mini,oai_token-act-pair,6.799,0.003098805745442708," verdict,  awarded,  overhaul, ceedings, piece","aceae, ](#, \., ](, )](#"
1,7589, gerunds or words ending in 'ing',gpt-4o-mini,oai_token-act-pair,3.397,0.002924601236979167,"roup, tons, à±į, haus, naire"," finding,  {},  using,  deriving,  sleeping"
1,7637," the repetition of the word ""stay.""",gpt-4o-mini,oai_token-act-pair,6.417,0.001364707946777344," behind, olu,  UTC, ubot, UTC","ľ, ½, ĵ, Ķ, ŀ"
1,7669,"words related to the character ""Puss in Boots"" from the Shrek universe",gpt-4o-mini,oai_token-act-pair,5.534,0.001063982645670573,"±, ¥, ŀ, Ĵ, ¢",">/,  usually,  kg,  follow,  morning"
1,7697, references to specific people and organizations within a context of legal or formal announcements,gpt-4o-mini,oai_token-act-pair,0.913,0.03891881306966146," nonetheless, imize, ctomy,  yourselves,  objection","         ,                                                                       ,           
 , <|outofrange|>, č
                   "
1,7705,terms and words associated with definitions and classifications,gpt-4o-mini,oai_token-act-pair,2.996,0.004944483439127604,"ī, ł, ¯, º, Ĥ","%=,  <-, zzles, [:, medium"
1,8134,specific geographic locations or landmarks,gpt-4o-mini,oai_token-act-pair,1.434,0.01186370849609375,"nement, umab,  Suite, amiento, keit","ĻĤ, ľĵ, ¿½,                ,                 "
1,8164,"details about sequences, processes, and events taking place over time or steps",gpt-4o-mini,oai_token-act-pair,0.558,0.0319821039835612,""")], ahoma, \])]{}, ""]), )]("," catalogue,  histories, ools,  editions, emporary"
1,8626, key numerical values and statistical data related to various subjects,gpt-4o-mini,oai_token-act-pair,4.455,0.01066144307454427,"hip, )\], )\]., ev,  parted","ĻĤ, ħ, ĩ, Ħ, Ģ"
1,8745, technical terms and concepts related to software and programming,gpt-4o-mini,oai_token-act-pair,1.081,0.01796531677246094,"Ļª, »¿, ŀ, ¢,   
 "," myself,  yourself, ?"", ?âĢĿ, comes"
1,8928,memories and personal experiences related to change and introspection,gpt-4o-mini,oai_token-act-pair,0.635,0.0543521245320638,"'));,  whatsoever, )).,  anywhere,  violation"," BGCOLOR, alion,  firm, imon, nbsp"
1,9123, references to notable individuals and their activities,gpt-4o-mini,oai_token-act-pair,2.351,0.009212493896484375," crore,  Kumar, âĢĻ.,  Shah, âĢĻ,"," allergies, ÂĹ,  _, ologically,  fitness"
1,9581,past tense verbs indicating actions of people,gpt-4o-mini,oai_token-act-pair,2.718,0.005578358968098958,"raid, ĻĤ, inel,  defeat,  detach","minded,  credits, alties, writers, ments"
1,9587, mentions of sports seasons and related timelines,gpt-4o-mini,oai_token-act-pair,5.653,0.002078374226888021,"ally, al, ality,  finale, lights","ĺ, ĸ´, ĻĤ, ´, ĨĴ"
1,9806,formal announcements regarding events,gpt-4o-mini,oai_token-act-pair,1.295,0.03660424550374349," organizers,  attendees,  attendance,  inaugural,  cheering","·, «, į, Ń, ¥"
1,9959, religious or spiritual themes related to human experiences and values,gpt-4o-mini,oai_token-act-pair,1.97,0.0364688237508138,",âĢĶ,  pardon, ,--,  thereto,  conne"," https,  globally,  Netflix,  global,  2019"
1,10066, names and titles of individuals associated with significant achievements or roles,gpt-4o-mini,oai_token-act-pair,1.55,0.04471492767333984," yourself,  yourselves,  happened,  arises,  fails","Īĺ, Ļª, ĻĤ, ·, <|outofrange|>"
1,10100, phrases that indicate personal struggles or vulnerabilities,gpt-4o-mini,oai_token-act-pair,1.825,0.02430184682210286," alike,  resultant, then, lando, them"," Acad, naire, Ã©ric,  MÃ©,  mellitus"
1,10135,references to human rights violations and associated legal or analytical frameworks,gpt-4o-mini,oai_token-act-pair,0.894,0.02357673645019531,"Ļ, ĻĤ, Ļª, »¿, ¾","ighs, omorphisms, born,  latter, ounder"
1,10155, terms related to optimization and various forms of analysis or processing,gpt-4o-mini,oai_token-act-pair,1.668,0.006641705830891927,"gery, naire, igator, visor, atÃ³"," tired,  clicking, lick,  lingering,  reopen"
1,10212,words and phrases related to ticket availability and events,gpt-4o-mini,oai_token-act-pair,1.037,0.03549321492513021," itself,  again, keit, ""?, âĢĿ?","idopsis, rench, oxic, uge, googleapis"
1,10284, numeric values related to ratings or quantities,gpt-4o-mini,oai_token-act-pair,3.538,0.001784642537434896,"teenth, hed, teen, dp, olving"," mistake, oya,  responsibility,  vain, ikov"
1,10511, chemical compounds and related terminology,gpt-4o-mini,oai_token-act-pair,2.714,0.001480738321940104,"¢, ł, ī, ¶, Ŀ"," pardon,  Word, oyd,  sexually, yll"
1,10633,words and phrases associated with death and lifelessness,gpt-4o-mini,oai_token-act-pair,6.458,0.001242955525716146,"liest, bolt, lift, minster, weight","ĨĴ, Ĩ,                                                             ,    
 ,  
         "
1,10979,"references to Russia and its political leaders, particularly Vladimir Putin",gpt-4o-mini,oai_token-act-pair,4.419,0.001098314921061198,"oslav,  Federation, works, craft, istan","pless,  gastrointestinal,  colorectal,  digestive,  colitis"
1,11009,words related to fire and water,gpt-4o-mini,oai_token-act-pair,1.91,0.005261103312174479,"gate, ford, Wire, break, breaker"," vicinity, acial, uding, aying, itting"
1,11081,actions associated with health and medical processes involving assistance and interventions,gpt-4o-mini,oai_token-act-pair,2.439,0.005608876546223958," them, ulate, ities, erate,  minds","owing, fal, ando, blo, liner"
1,11098, concepts related to spiritual or emotional transformation and redemption,gpt-4o-mini,oai_token-act-pair,1.848,0.05260435740152995," sin,  nour,  darkness,  alt,  immense","JM, Reviewer, PLIED, ãĤ§, JR"
1,11440, mentions of specific categories or classes often denoted by identifiers or labels,gpt-4o-mini,oai_token-act-pair,4.966,0.001677195231119792,"acter, less, acillus, ridges, rient","¸, ľĵ, Ĥ, ī, ¡"
1,11843, words related to grappling or physical contests,gpt-4o-mini,oai_token-act-pair,1.506,0.008396466573079428," aboard,  catches, ization, izing, azine","ĥ½, ī,  ÑĩÑĤÐ¾,                                     ,                                  "
1,12029,constructions related to transportation infrastructure and efficiency,gpt-4o-mini,oai_token-act-pair,1.249,0.02130413055419922,"ĻĤ, ³, ĳ, Ļ, Ļª","à±į, astro, à±ģ,  depended, etable"
1,12180,calls to action and links related to downloads or online content,gpt-4o-mini,oai_token-act-pair,1.523,0.02454217274983724," welcome,  Â£,  caption, )</, dated","""}](#, chle,  differently, *^,  ^"
1,12372," proper nouns, primarily names of places and people",gpt-4o-mini,oai_token-act-pair,1.628,0.01584148406982422," Publications, isiÃ³n, stown,  Motors, pora","""?"",  adults, '?"",  behavior,  grown"
1,12439,verbs indicating ongoing actions or states in a narrative context,gpt-4o-mini,oai_token-act-pair,2.269,0.01737658182779948,"]>,  turnover,  bright,  successor, dry","¹, Ģ, ¬, ª, Ĵ"
1,12975, key concepts related to legal proceedings and judicial decisions,gpt-4o-mini,oai_token-act-pair,0.675,0.022308349609375," well,  positively,  *,  fairly,  {}","
                                     ,                                         , <|outofrange|>, 
            
           ,             
 "
1,12979,words related to philanthropy,gpt-4o-mini,oai_token-act-pair,1.581,0.005670865376790364,"ains, ics, actic, act, ever"," Future,  slow,  same,   
,  unders"
1,12997,numeric values and their relationships or patterns in data,gpt-4o-mini,oai_token-act-pair,1.192,0.01664352416992188,"ousand,  increments, reshold, rive, equal","ily, ivos, ivist,  finance, cler"
1,13241,"instances of the word ""bride"" and its variations",gpt-4o-mini,oai_token-act-pair,3.988,0.002591451009114583,"ands, ings, ship, hurst, iche","ĨĴ, Īĺ, Ĳ, ķ, ¿½"
1,13301, legal citations and case references,gpt-4o-mini,oai_token-act-pair,2.152,0.02359867095947266,"»¿,  percentile, wick, century,  Ave","ils, xi, ulos, icos,  immune"
1,13429,"the word ""so.""",gpt-4o-mini,oai_token-act-pair,7.406,0.002871831258138021,"bject, aring, oths, bbing, vereign"," Sciences, ings, ments, works, egen"
1,13675, content related to legal matters and court decisions,gpt-4o-mini,oai_token-act-pair,0.953,0.02181466420491536,"ĻĤ, Ĺ, ĳ, ĸ, ²","teenth, uary, ruptcy, ashington, wikipedia"
1,13808, descriptive phrases related to natural landscapes and geographic features,gpt-4o-mini,oai_token-act-pair,1.427,0.02068773905436198," interior,  adjoining, insula,  nearby,  neighbouring","¦, ķ, ĻĤ, Į, Ĥ"
1,14142," mentions of ""@"" symbols, likely indicating social media handles or references",gpt-4o-mini,oai_token-act-pair,5.989,0.0008252461751302084,"¼,  vez, ±, gmail,  weekends","ty, ening, arter, irs, anner"
1,14191,references to the Netherlands and Dutch culture,gpt-4o-mini,oai_token-act-pair,4.992,0.0005769729614257812,"shire, izumab, ief, lace, thems"," enough,  Expect,  UFC,  true,  POSS"
1,14266, various programming commands and functions,gpt-4o-mini,oai_token-act-pair,0.767,0.02090136210123698,"atively,  decisive, iful,  careful, uppose","ĨĴ, Ĥ¬, ®, Ĵ, ¬"
1,14407," the word ""that"" in various contexts",gpt-4o-mini,oai_token-act-pair,5.158,0.005093256632486979,"ched, chle, Ĳ, tics, chers"," occupancy,  that, ably,  each,  MERCHANTABILITY"
1,15004,dates and historical references,gpt-4o-mini,oai_token-act-pair,4.664,0.0008707046508789062,"istic, doch, ental,  anniversary, sburg","¹, ·, Ħ, «, ĻĤ"
1,15346," terms related to legal and regulatory matters, especially concerning financial crimes and compliance",gpt-4o-mini,oai_token-act-pair,1.799,0.01391728719075521,"estone,  Championships, ista,  Awards, breaker"," closed,  slightest,  unnatural,  '</,  sudden"
1,15352,expressions of excitement or joy,gpt-4o-mini,oai_token-act-pair,1.539,0.0105899175008138,"nement, tes, naire, bed,  offers","7554,  Show,  Generated, oxic, 
ĉĉĉĉĉĉĉĉ"
1,15625,"the definite article ""the"" and its contextual usage",gpt-4o-mini,oai_token-act-pair,5.237,0.004774411519368489,"wers,  latter,  way,  nation, IRS"," posture,  pose, erna,  coordination, ket"
1,15798,specific names or identifiers related to personal stories and healthcare narratives,gpt-4o-mini,oai_token-act-pair,1.232,0.02034091949462891,"ī, ¯, ģ, ®, Ĭ","cause, Cause, effectiveness, nier,  comeback"
1,16090,references to race and diversity issues,gpt-4o-mini,oai_token-act-pair,0.573,0.02344322204589844," communities,  community,  thriving,  society,  ecosystem","zzles,  manually,  intervals, hores,  shutter"
1,16172,specific years or dates mentioned in the text,gpt-4o-mini,oai_token-act-pair,4.162,0.00208123524983724,"uscript,  recipients,   
, OOGLE, LAST","¹,  
           ,               , 
                                                , 
            
           "
1,16271, HTML and other markup tags within content,gpt-4o-mini,oai_token-act-pair,0.635,0.04703044891357422," together, rangle, hibit, together,  girls","sson, ftware, ystems, ities, ius"
1,16354,"instances of the word ""with.""",gpt-4o-mini,oai_token-act-pair,5.367,0.002347946166992188," regards,  regard,  respect, drawn, ils","ender, criptor, inos, core, iller"
1,16387,specific names or proper nouns associated with individuals or entities in various contexts,gpt-4o-mini,oai_token-act-pair,1.435,0.03937562306722005,"·, ĻĤ, ©, «, ²","etry, lasses, /., /), osevelt"
1,16421,"proper nouns, particularly names of individuals and places",gpt-4o-mini,oai_token-act-pair,2.688,0.01636060078938802,"jee, ÅĽci, stadt, asio, wagen","¿½, Ĥ, ĻĤ, ĵ, Ĵ"
1,16539, terms associated with corporate and financial performance,gpt-4o-mini,oai_token-act-pair,2.401,0.006975809733072917,"»¿,  ones, ĻĤ,  matters, quarters","ene, obl, icol,  electroly,  cm"
1,16663,"references to noteworthy achievements and contributions in the entertainment industry, particularly in film and music",gpt-4o-mini,oai_token-act-pair,1.385,0.01787058512369792," biography,  artist,  genre,  comedy,  genres","ĥ½, ¯, ±, ¼, »"
1,16879, elements and structures related to programming or software development,gpt-4o-mini,oai_token-act-pair,1.194,0.01092974344889323," volumes,  accelerator,  volume,  led, NdEx"," smell, áĢº, IRQHandler,  Syndrome, wards"
1,17422,terms related to sports and competitions,gpt-4o-mini,oai_token-act-pair,1.182,0.02169545491536458,"doms, ahead, liga, yards, shot","¯, ĳ, ¿½, Ļ, ´"
1,17555, keywords related to events and notable occurrences,gpt-4o-mini,oai_token-act-pair,1.178,0.02661069234212239,"½, ł, ĻĤ, §, ³","stanbul, oint, APTER, ARRANT, tingham"
1,17590, terms associated with various forms of suffering and their impacts on individuals,gpt-4o-mini,oai_token-act-pair,2.242,0.01440238952636719,"ateur, imum, liest, naire, ially","ĥ½, Ĵ, 


   , 
                                                 ,                "
1,17638, possessive pronouns and their usage in relation to ownership or belonging,gpt-4o-mini,oai_token-act-pair,3.927,0.005228042602539062," alike, itude, oint,  hardest,  deeper","()));, xspace, ]];, Ãªme, (()"
1,17796," references to specific organizations, policies, or legal frameworks",gpt-4o-mini,oai_token-act-pair,1.152,0.0439294179280599,"»¿, ĸ, ī, ģ, Ģ"," love,  kidding,  sudden,  hers,  weird"
1,17991, references to medical treatments or conditions related to respiratory health,gpt-4o-mini,oai_token-act-pair,5.255,0.0009644826253255209,"arium, mith, ¡, clerosis, pire"," preponderance, ocrine, ishes, aisy, ts"
1,19468,discussions about herbal remedies and their effectiveness,gpt-4o-mini,oai_token-act-pair,1.201,0.02059205373128255,"ĻĤ, Ĥ, Ĺ, °, Ĳ","\]](, ""}](#, á»ĥ, bsd, pgen"
1,19663,locations and geographical references in the text,gpt-4o-mini,oai_token-act-pair,2.257,0.01161416371663412,"xico, ospace, atto, ansas, ceral","
                               , č
        , 
  
 ,                                                       , 
  "
1,19830, terms and conditions related to agreements and obligations,gpt-4o-mini,oai_token-act-pair,2.202,0.01427523295084635,"ĥ½, ·¸, 
                             , 
                                                                ,           
 "," factors,  policies,  objectives,  keys, ulations"
1,20118,the act of singing and related musical actions,gpt-4o-mini,oai_token-act-pair,4.444,0.003417015075683594,"lasses,  louder,  loud,  songs,  aloud","amined,  publication, OPLE, CHANTABILITY,  thrombosis"
1,20423,references to the Italian nationality or culture,gpt-4o-mini,oai_token-act-pair,4.669,0.001736640930175781," Affairs, skins, istan, Functions, women"," varying,  different, lessly,  measurable,  measured"
1,20431,specific locations or geographical references in relation to contexts or events,gpt-4o-mini,oai_token-act-pair,2.455,0.02913983662923177,"ospace, ureus, xico, aque, xygen"," 
           ,               , 
         ,                      , 

               "
1,20440, punctuation and its frequency,gpt-4o-mini,oai_token-act-pair,4.584,0.001575469970703125,"unnumbered, ¼, ½, ², theless","ies,  therefrom, -âĤ¬,  configuration,  setup"
1,20483, quantifiable data related to computer programming and file structures,gpt-4o-mini,oai_token-act-pair,1.006,0.01802825927734375,"/.,  \+, aan, /), =âĢĿ"," PBX,  Suit,  SIM, illery,  Box"
1,20628, words related to regulatory or formal processes,gpt-4o-mini,oai_token-act-pair,2.934,0.008150418599446615,"aneously, itely, estly, cing, ational","Ĵ, ģ, ±, ĭ, Ļ"
1,20776, the use of dots or omissions in textual content,gpt-4o-mini,oai_token-act-pair,5.611,0.001422564188639323,"¸, ĥ½, Ķ, Ŀ, ¼","nikov, ieri, ingale, yla, àª¾"
1,21183, URLs and specific data fields in a structured format,gpt-4o-mini,oai_token-act-pair,1.578,0.04079055786132812,"ëĭĪëĭ¤,  Bool,  respectively, respectively, neq","ĨĴ, »¿, Ĵ, ·¸, ĳ"
1,21374, phrases indicating something that continues to exist or persist over time,gpt-4o-mini,oai_token-act-pair,5.684,0.0009094874064127604,"ders, sembl,  unaffected,  faithfully,  unresolved","Ħ, ª, Ī, Ĵ, ½"
1,21962,references to significant political figures and their interactions with governmental matters in Russia and Ukraine,gpt-4o-mini,oai_token-act-pair,2.093,0.004922548929850261," Sov, Sov, ŀ,  Minister, kom"," diagnoses,  color, opause,  diagnose, ppings"
1,22207,connections or relationships among various entities,gpt-4o-mini,oai_token-act-pair,4.735,0.003926595052083333," sexes,  JUD, usterity, /-/,  dice","listed, age, time, linked,  belongs"
1,22554,technical terminology and references related to software development and data management,gpt-4o-mini,oai_token-act-pair,1.03,0.01449934641520182,"ĻĤ, ģ, ŀ, Ī, £","Ã§Ãµes,  ourselves, clusions, ://,  nature"
1,23425,instances of specific programming language syntax and constructs,gpt-4o-mini,oai_token-act-pair,1.026,0.0612945556640625,"Ļª, ¦, ¯, ĥ, ½","âĢĿ)., :**]{}, âĢĿ., ""]., )!"
1,23617," the word ""What"" in various contexts, indicating inquiries or questions",gpt-4o-mini,oai_token-act-pair,6.56,0.001387596130371094," kind,  happened,  toast, soever,  happens","´, ¸, Ģ, yard, rant"
1,23837, references to locations or places,gpt-4o-mini,oai_token-act-pair,2.598,0.007088661193847656,"eligible,  vivo,  vain, separ, appropri","ment, pieces, isters, isme, heads"
1,23840,references to specific events or details related to a narrative or report,gpt-4o-mini,oai_token-act-pair,0.63,0.05483690897623698,"ĻĤ, ¿½, Ł, Ĺ, ĸ","rico, buntu, usepackage, ÐµÑģÐº, Ð»ÑĮ"
1,24381,references to payment or financial transactions,gpt-4o-mini,oai_token-act-pair,6.463,0.001798311869303385,"mium, back, check, own, pal","£, ¿½, Īĺ, Ń, ¨"
1,24712, programming-related keywords and specific coding functions,gpt-4o-mini,oai_token-act-pair,1.219,0.01848093668619792,"
                                               , 
                                                                , <|outofrange|>, 
                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","asted, ights, ised, oses, inking"
1,24734,quotes or dialogue within the text,gpt-4o-mini,oai_token-act-pair,3.489,0.007800420125325521,"¼, ĭ, ®, ĥ, Ĭ","ologies, ological, omatic, ostat, osal"
1,25427,references to particular songs and their titles,gpt-4o-mini,oai_token-act-pair,2.289,0.01927344004313151,"!,, !âĢĿ, etica, âĢĻ, break","Ĺ, ¯, ¸, ¡, ·"
1,25543,negative or contradictory sentiments,gpt-4o-mini,oai_token-act-pair,1.145,0.03092861175537109," alike,  others, oint,  therefrom, urers","ĳ, Ĵ, Ĥ¬, §, ĺ"
1,25737, statements expressing mixed feelings about a situation,gpt-4o-mini,oai_token-act-pair,3.57,0.08090782165527344,"izen, enties, rio, erto, cis","·, ľ, documentclass, ¯,  respectively"
1,25962,references to historical events or conditions,gpt-4o-mini,oai_token-act-pair,2.083,0.1125125885009766,"Ļª, ¯, ģ, Ĺ, £","adel, uego, ...](, taire, achus"
1,26468, descriptors for properties and qualities of items or situations,gpt-4o-mini,oai_token-act-pair,2.016,0.01908938090006511," brackets,  ranging,  ranges,  reflected,  labels","ĥ½, Ĳ, ¢, »,                                                                                                                                                                                                 "
1,26593, articles and pronouns that indicate specificity,gpt-4o-mini,oai_token-act-pair,1.675,0.009775797526041666,"ermine,  usual, verting, Willi, andum","_."", .'', .'"", .""_, stones"
1,27181,technical terminology related to programming languages and compiler behavior,gpt-4o-mini,oai_token-act-pair,1.418,0.01061121622721354," (__,  specialization,  binaries,  programmer, !(","³, ¯, Kelly, OPLE, ¦"
1,27997,numeric values or identifiers related to coding or programming context,gpt-4o-mini,oai_token-act-pair,1.695,0.01467514038085938,"», ¼, ī,                                                                                                                                                                                                                                                                 , 
  ÂłÂłÂł","izations,  actu, uously, izing, ously"
